商品ID,名称,分类,价格(元),价格(分),描述,图片路径
24648,Xiaomi 17 Max,Xiaomi手机,4799.0,479900,第五代骁龙8至尊版 | 8000mAh 小米金沙江电池 | 6.9英寸新一代超级阳光屏,images/24648.png
21931,Xiaomi 17,Xiaomi手机,4799.0,479900,"徕卡光学 Summilux 高速镜头｜光影猎人 950 影像传感器丨第五代 骁龙 8 至尊版移动平台
7000mAh 小米金沙江电池丨100W 小米澎湃秒充｜低功耗超级阳光屏",images/21931.png
20618,Xiaomi 15,Xiaomi手机,3599.0,359900,"徕卡光学 Summilux 高速镜头｜骁龙®8至尊版移动平台｜5400mAh 小米金沙江电池
小米澎湃OS 2｜全生态AI助手 超级小爱｜低功耗超级阳光屏",images/20618.png
24814,Xiaomi 17T,Xiaomi手机,2999.0,299900,"6.59""低功耗超级阳光屏 ｜徕卡 5X 浮动潜望长焦｜徕卡 Live 动态照片",images/24814.png
21298,Xiaomi Civi 5 Pro,Xiaomi手机,2499.0,249900,徕卡光学 Summilux 高速镜头，6000mAh 小米金沙江电池,images/21298.png
21936,Xiaomi 17 Pro Max,Xiaomi手机,6499.0,649900,徕卡光影大师 移动影像系统｜徕卡 5X 超聚光潜望长焦｜妙享背屏｜第五代 骁龙 8 至尊版移动平台｜7500mAh 小米金沙江电池｜低功耗超级阳光屏 「超级像素」,images/21936.png
21932,Xiaomi 17 Pro,Xiaomi手机,5399.0,539900,徕卡光影大师 移动影像系统 ｜徕卡 5X 浮动潜望长焦｜妙享背屏｜第五代 骁龙 8 至尊版移动平台｜6300mAh 小米金沙江电池｜低功耗超级阳光屏,images/21932.png
22422,Xiaomi 17 Ultra,Xiaomi手机,6999.0,699900,徕卡一英寸光影大师｜光影猎人1050L传感器｜LOFIC超高动态技术｜烟花模式｜徕卡超纯光学系统｜徕卡2亿像素光学变焦｜2亿像素超大底传感器｜75mm-100mm 2亿像素光学直出｜8片3组 光学架构｜4K 实况运镜｜红毯运镜｜徕卡APO光学认证｜50MP 徕卡超广角｜超级像素｜1.18mm 极窄四等边｜M10 新一代屏幕发光材料｜新型红色发光主材｜小米龙晶玻璃 3.0｜第五代骁龙8 至尊版移动平台｜双路立体环形冷泵｜6800 mAh小米金沙江电池｜小米星辰通讯系统｜跨设备生态互联,images/22422.png
19752,Xiaomi Civi 4 Pro,Xiaomi手机,2099.0,209900,徕卡光学Summilux镜头，第三代骁龙8s旗舰处理器,images/19752.png
22423,Xiaomi 17 Ultra 徕卡版,Xiaomi手机,7999.0,799900,经典双拼设计｜中框精雕滚花｜徕卡经典红标设计｜大师变焦环｜经典3:2全画幅比例｜徕卡M3画质｜徕卡M9画质｜安全隐私加密芯片｜徕卡一英寸光影大师｜光影猎人1050L传感器｜LOFIC超高动态技术｜烟花模式｜徕卡超纯光学系统｜徕卡2亿像素光学变焦｜2亿像素超大底传感器｜75mm-100mm 2亿像素光学直出｜8片3组 光学架构｜4K 实况运镜｜红毯运镜｜徕卡APO光学认证｜50MP 徕卡超广角｜超级像素｜1.18mm 极窄四等边｜M10 新一代屏幕发光材料｜,images/22423.png
20982,Xiaomi 15 Ultra,Xiaomi手机,4999.0,499900,徕卡1英寸主摄 | 徕卡2亿超级长焦 | 徕卡超纯光学系统 | 骁龙8至尊版移动平台 | 6000mAh 小米金沙江电池 | 小米澎湃OS 2,images/20982.png
21423, Xiaomi MIX Flip 2,Xiaomi手机,4999.0,499900,4.01英寸多功能超大外屏|5165mAh小米金沙江电池|骁龙 8 至尊版移动平台|徕卡光学Summilux镜头|双VC立体散热系统|超平整折痕认证,images/21423.png
24809,Xiaomi 17T Pro,Xiaomi手机,3999.0,399900,天玑 9500 旗舰性能芯 | 徕卡光学 Summilux 高速镜头 | 6.8英寸低功耗超级阳光屏,images/24809.png
19300,Xiaomi 14,Xiaomi手机,3199.0,319900,徕卡光学Summilux镜头｜光影猎人900影像传感器 | 75mm徕卡浮动长焦 | 小米澎湃OS ｜第三代骁龙®8移动平台｜小米环形冷泵,images/19300.png
21305,Xiaomi 15S Pro,Xiaomi手机,5499.0,549900,玄戒® O1 3nm 旗舰处理器 | 小米 15周年特别设计 | 徕卡光学 Summilux 全焦段三摄 | 6100 mAh 小米金沙江电池 | 2K 低功耗超级阳光屏 | 小米首发 全焦段 4K 夜景视频,images/21305.png
19683,Xiaomi 14 Ultra,Xiaomi手机,4499.0,449900,徕卡光学 Summilux 镜头，第三代骁龙®8移动平台,images/19683.png
20603,Xiaomi 15 Pro,Xiaomi手机,4999.0,499900,"徕卡光学 Summilux 高速镜头｜骁龙®8至尊版移动平台｜6100mAh 小米金沙江电池
120mm 徕卡潜望长焦 ｜小米澎湃OS 2｜全生态AI助手 超级小爱",images/20603.png
20609,Xiaomi 15 定制版,Xiaomi手机,4099.0,409900,Xiaomi 15 定制版,images/20609.png
20249,Xiaomi MIX Flip 12GB+256GB随身拍套装,Xiaomi手机,6498.0,649800,Xiaomi MIX Flip 12GB+256GB手机一部+Xiaomi MIX Flip 随身拍套装一套,images/20249.png
20425,Redmi Note 14 Pro+,REDMI手机,1699.0,169900,更抗摔，更防水，更长续航,images/20425.png
24930,REDMI Note 17 Pro,REDMI手机,1599.0,159900,<font color='#ff4a00'>【直播间购机赠小米Type-C耳机】</font>抗摔 防水 长续航,images/24930.png
24940,REDMI Note 17,REDMI手机,1299.0,129900,<font color='#ff4a00'>【直播间购机赠小米Type-C耳机】</font>大屏 大电量,images/24940.png
20419,Redmi Note 14 Pro,REDMI手机,1149.0,114900,十面坚固，双倍抗摔,images/20419.png
25140,REDMI K100 Pro Max,REDMI手机,4199.0,419900,<font color='#ff4a00'>直播间购机限量赢小米小背包</font>旗舰双芯 | 185Hz高刷屏 | 9070mAh大电池 | 2亿旗舰三摄 | Sound by Bose 深度联调,images/25140.png
20844,REDMI Turbo 4,REDMI手机,1599.0,159900,REDMI Turbo 4 好看又能打,images/20844.png
24884,REDMI 17 5G,REDMI手机,999.0,99900,<font color='#ff4a00'>「直播间购机限量赢小米Type-C耳机」</font>大屏长续航 久用也流畅,images/24884.png
22172,REDMI K90,REDMI手机,3099.0,309900,骁龙®8至尊版 ｜超级像素护眼屏｜超线性对称立体双扬丨Sound by Bose 联合调音｜一体化冷雕工艺,images/22172.png
20866,Redmi 14C,REDMI手机,699.0,69900,大屏大音量 耐用好品质,images/20866.png
22526,REDMI Turbo 5,REDMI手机,2599.0,259900,"天玑 8500-Ultra | 6.59"" 黄金尺寸 | 1.5K 超级阳光屏",images/22526.png
24895,REDMI 17C,REDMI手机,799.0,79900,悦目大屏 一眼旗舰,images/24895.png
20790,REDMI K80,REDMI手机,1999.0,199900,第三代骁龙8|狂暴引擎4.0|2K新国屏|小米青山护眼2.0|6550mAh超长续航|90W闪充|IP68|超声波指纹,images/20790.png
22171,REDMI K90 Pro Max,REDMI手机,4499.0,449900,第五代 骁龙®8至尊版｜超级像素护眼屏｜2.1 立体声 豪华三扬丨Sound by Bose 联合调音｜5X 潜望长焦,images/22171.png
20420,Redmi Note 14 5G,REDMI手机,1199.0,119900,旗舰秩序美学、OLED 护眼直屏,images/20420.png
21648,REDMI Note 15,REDMI手机,1399.0,139900,真抗摔 真防水 长续航,images/21648.png
24933,REDMI K90 至尊版,REDMI手机,3299.0,329900,骁龙®8 至尊版｜AI 游戏独显｜风冷主动散热｜165Hz 高刷电竞屏,images/24933.png
19432,Redmi K70,REDMI手机,1999.0,199900,第二代骁龙8｜小米澎湃OS｜狂暴引擎3.0｜冰封散热系统｜2K 护眼屏｜5000mAh超大电量,images/19432.png
22527,REDMI Turbo 5 Max,REDMI手机,2799.0,279900,天玑 9500s | 9000mAh 最大小米电池 | 1.5K 超级阳光屏,images/22527.png
25135,REDMI K100 Pro,REDMI手机,3699.0,369900,<font color='#ff4a00'>直播间购机限量赠米家台灯2 Lite</font>旗舰双芯 | 185Hz高刷屏 | 8580mAh高硅碳电池 | 2亿旗舰主摄,images/25135.png
21136,REDMI Turbo 4 Pro,REDMI手机,1899.0,189900,Turbo 4 Pro 好看，更能打！,images/21136.png
23969,REDMI K90 Max,REDMI手机,3499.0,349900,天玑 9500 正代旗舰芯｜游戏独显｜超强风冷主动散热｜165Hz 超高刷电竞屏,images/23969.png
20153,Redmi K70 至尊版,REDMI手机,2149.0,214900,双芯旗舰，狂暴登场！天玑 9300+ 搭档狂暴游戏独显 D1 芯片，依托狂暴引擎 3.0 贯穿双芯调校、及全新 3D 冰封散热™系统，实现更激进、持久的游戏性能释放。,images/20153.png
21659,REDMI Note 15 Pro,REDMI手机,1799.0,179900,真抗摔 真防水 长续航,images/21659.png
21432,REDMI K80 至尊版,REDMI手机,2599.0,259900,天玑9400+|独显芯片 D2|3D 冰封循环冷泵|144Hz高刷|小米青山护眼护眼|7410mAh 小米金沙江电池|大师级同轴对称双扬|超宽频赛博马达,images/21432.png
19184,Redmi Note 13 Pro,REDMI手机,1299.0,129900,新 2 亿像素 更快更清晰｜旗舰直屏 超细四窄边,images/19184.png
20867,小米自带线充电宝20000 22.5W ,手机配件,119.0,11900,<font color='#ff4a00'>产品站领国补资格下单省10%</font>大容量长续航，双向疾速快充,images/20867.png
22179,小米充电宝 自带线 快充版 20000 33W,手机配件,149.0,14900,<font color='#ff4a00'>产品站领国补资格下单省10%</font>大容量长续航，双向疾速快充,images/22179.png
21895,小米自带线充电宝 20000 67W,手机配件,179.0,17900,<font color='#ff4a00'>产品站领国补资格下单省10%</font>高功率双向快充，大容量自在出行,images/21895.png
18499,小米自带线充电宝10000mAh口袋版,手机配件,99.0,9900,口袋随行，电量时刻在“线”,images/18499.png
11174,小米移动电源3 20000mAh USB-C双向快充版,手机配件,119.0,11900,USB-C 18W双向快充 / 可为三台设备同时充电 / 高品质锂离子聚合物电池,images/11174.png
22410,Xiaomi Tag,手机配件,63.0,6300,智能定位 一找就对,images/22410.png
10050229,小米充电宝 自带线 20000,手机配件,199.0,19900,通过2026年新国标认证，可选22.5W、45W、67W多款型号,images/10050229.png
22272,小米充电宝 20000 165W,手机配件,269.0,26900,<font color='#ff4a00'>产品站领国补资格下单省10%</font>高功率长续航，双口组合超快充,images/22272.png
20628,小米磁吸散热背夹,手机配件,149.0,14900,超强功率，超强制冷,images/20628.png
22109,小米金沙江充电宝 磁吸超薄 5000 15W,手机配件,299.0,29900,<font color='#ff4a00'>产品站领国补资格下单省10%</font>磁吸超薄，至薄澎湃，整机薄至6mm,images/22109.png
21468,小米自带线屏显充电宝10000 45W,手机配件,149.0,14900,<font color='#ff4a00'>产品站领国补资格下单省10%</font>幻彩小巧 LCD智能屏显 双向快充,images/21468.png
18290,小米67W充电器套装 轻享版  原装同款,手机配件,89.0,8900,最高67w输出功率 ｜ Type-C接口数据线,images/18290.jpg
18453,Xiaomi 120W 充电器套装  原装同款,手机配件,159.0,15900,十重保护 | 安心充放电,images/18453.png
20379,小米自带线充电宝10000 165W,手机配件,179.0,17900,<font color='#ff4a00'>产品站领国补资格下单省10%</font>旗舰高功率，双口组合超快充,images/20379.png
12896,小米Type-C充电器快充版 20W 白色,手机配件,29.0,2900,20W大功率 |兼容多种快充协议 | 100-240V宽电压 | 多重安全保护 | 支持苹果12,images/12896.png
13468,小米6A Type-C快充数据线   原装同款,手机配件,27.0,2700,快速充电 | 快速传输 | 更强兼容 | 安全可靠,images/13468.png
12541,小米车载充电器快充版1A1C 100W,手机配件,99.0,9900,"USB-C 100W MAX 快充/USB-A,USB-C双口输出/环形炫彩灯效显示",images/12541.png
21660,小米磁吸支架充电宝10000 7.5W,手机配件,149.0,14900,<font color='#ff4a00'>产品站领国补资格下单省10%</font>自带支架随心玩，双向快充少等待,images/21660.png
20358,小米充电宝 25000 212W,手机配件,449.0,44900,<font color='#ff4a00'>产品站领国补资格下单省10%</font>充沛能量，疾速闪充,images/20358.png
20626,小米30W磁吸无线充,手机配件,129.0,12900,纤薄身材 握感隐无形,images/20626.png
20878,小米磁吸自带线充电宝10000 33W,手机配件,169.0,16900,多彩便携，有线无线自在充电,images/20878.png
20395,小米自带线充电宝 10000 33W,手机配件,119.0,11900,<font color='#ff4a00'>产品站领国补资格下单省10%</font>小巧随身装，补电实力派,images/20395.png
21946,Xiaomi 17 Pro/Pro Max复古掌机保护壳,手机配件,299.0,29900,经典掌机设计 | 套壳直连 | 40天超长续航,images/21946.png
24663,小米金沙江充电宝 超薄磁吸 10000 45W,手机配件,369.0,36900,<font color='#ff4a00'>产品站领国补资格下单省10%</font>超薄磁吸 超大电量安心随行,images/24663.png
25101,小米充电宝 自带线 20000 22.5W,手机配件,199.0,19900,通过2026年新国标认证，大容量双向快充,images/25101.png
20593,Xiaomi Pad 7,平板,2299.0,229900,<font color='#ff4a00'>【至高享15%政府补贴，直播间下单赠保护壳】</font>11.2英寸3.2K高清高刷屏 | 第三代骁龙7+ 旗舰芯片 | HyperOS 2,images/20593.png
24235,REDMI Pad 2 SE,平板,1199.0,119900,<font color='#ff4a00'>【至高享15%政府补贴，购机赠双面保护壳！】</font>2K高素质屏幕｜旗舰级金属机身｜70.2天超长待机,images/24235.png
21872,Xiaomi Pad 8,平板,2799.0,279900,<font color='#ff4a00'>【至高享15%政府补贴，直播间下单赠保护壳，买赠价值655元游戏礼包】</font>第四代骁龙 8s 旗舰处理器 | 11.2英寸高清护眼屏 | 薄至5.75mm 轻至485g | 9200mAh 大电池 | 小米澎湃OS 3 | PC 级WPS、CAD,images/21872.png
21871,Xiaomi Pad 8 Pro,平板,2999.0,299900,<font color='#ff4a00'>【至高享15%政府补贴，直播间下单赠保护壳，买赠价值655元游戏礼包】</font>骁龙 8 至尊版旗舰处理器 | 11.2英寸高清护眼屏 | 薄至5.75mm 轻至485g | 9200mAh 大电池 | 小米澎湃OS 3 | PC 级WPS、CAD,images/21871.png
21591,REDMI Pad 2,平板,1399.0,139900,<font color='#ff4a00'>【至高15%政府补贴，柔光版下单赠保护壳】</font>2.5K超清护眼屏 | 9000mAh超长续航大电池 | 海量题库精准辅学 | 千元高性价比大屏平板,images/21591.png
21130,Xiaomi Pad 7 Ultra,平板,5699.0,569900,<font color='#ff4a00'>【至高享6期免息，下单买赠磁吸保护壳！】</font>玄戒®O1 3nm旗舰处理器 | 实验室环境安兔兔综合跑分300万+ | 14英寸3.2K高清高亮OLED屏 | 5.1mm超薄机身 | 12000mAh 超大电池 | 120W 疾速快充,images/21130.png
23974,REDMI K Pad 2,平板,3599.0,359900,"<font color='#ff4a00'>【至高享15%政府补贴，下单再享至高6期免息！】</font>天玑 9500 正代旗舰芯 | 8.8"" 3K LCD 高亮电竞屏 | SoC 中置散热架构 | 15300mm² 铝合金液冷VC",images/23974.png
